led,t,deltat,AcX,AcY,AcZ,GravX,GravY,GravZ,QuatW,QuatX,QuatY,QuatZ,OrX,OrY,OrZ,GyX,GyY,GyZ
0,8752,50,0.65,0.25,-0.02,-2.47,2.33,9.19,0.98437,0.12048,0.12848,0.00421,359.50,-14.63,-14.19,0.25,-0.10,0.00
0,8802,50,0.89,-0.25,-0.66,-2.44,2.35,9.20,0.98444,0.12158,0.12701,0.00397,359.50,-14.44,-14.31,0.06,-0.02,-0.00
0,8852,50,0.00,-0.34,-1.24,-2.42,2.35,9.20,0.98456,0.12152,0.12598,0.00403,359.50,-14.25,-14.38,0.03,-0.04,0.01
0,8902,50,0.58,-0.87,-0.62,-2.40,2.36,9.20,0.98462,0.12189,0.12494,0.00415,359.50,-14.13,-14.38,0.11,-0.03,0.01
0,8952,50,0.84,-0.37,-0.45,-2.40,2.35,9.21,0.98468,0.12152,0.12500,0.00446,359.44,-14.13,-14.31,0.01,-0.03,0.02
0,9003,51,1.16,-0.35,0.22,-2.41,2.35,9.20,0.98462,0.12128,0.12573,0.00464,359.44,-14.19,-14.31,-0.03,0.03,0.01
0,9053,50,-0.01,0.03,-0.27,-2.42,2.35,9.20,0.98456,0.12115,0.12628,0.00488,359.44,-14.25,-14.31,-0.04,0.09,-0.00
0,9103,50,0.39,-0.16,0.18,-2.42,2.35,9.20,0.98456,0.12109,0.12622,0.00507,359.38,-14.25,-14.25,-0.05,0.01,0.01
0,9153,50,1.57,0.28,0.68,-2.41,2.34,9.20,0.98462,0.12097,0.12585,0.00513,359.38,-14.25,-14.25,0.00,-0.09,0.01
0,9203,50,0.78,0.64,-0.53,-2.41,2.34,9.20,0.98468,0.12085,0.12579,0.00513,359.38,-14.25,-14.19,-0.04,-0.06,0.01
0,9253,50,0.20,-0.31,-0.75,-2.41,2.35,9.20,0.98462,0.12103,0.12573,0.00513,359.38,-14.19,-14.25,0.01,0.03,-0.00
0,9303,50,0.83,-0.26,-0.23,-2.40,2.35,9.21,0.98468,0.12134,0.12518,0.00513,359.38,-14.13,-14.31,0.04,-0.08,0.01
0,9353,50,1.12,-0.62,-0.15,-2.39,2.35,9.21,0.98474,0.12134,0.12482,0.00513,359.38,-14.13,-14.31,0.06,-0.14,0.02
0,9403,50,1.04,0.18,-0.08,-2.40,2.35,9.21,0.98468,0.12128,0.12506,0.00507,359.38,-14.19,-14.31,-0.06,-0.02,0.01
0,9453,50,1.00,-1.14,-0.01,-2.40,2.35,9.20,0.98468,0.12128,0.12531,0.00513,359.38,-14.19,-14.31,-0.01,0.01,-0.00
0,9503,50,0.65,0.54,-0.52,-2.40,2.35,9.20,0.98468,0.12146,0.12518,0.00507,359.38,-14.13,-14.31,-0.03,-0.04,0.01
0,9553,50,0.92,0.44,-1.06,-2.39,2.35,9.21,0.98474,0.12128,0.12488,0.00500,359.38,-14.13,-14.31,-0.04,-0.00,0.00
0,9603,50,1.34,-0.62,-0.38,-2.39,2.35,9.21,0.98474,0.12122,0.12488,0.00494,359.38,-14.19,-14.25,-0.08,-0.03,-0.00
0,9653,50,0.18,-0.87,-0.53,-2.40,2.34,9.21,0.98468,0.12091,0.12531,0.00507,359.38,-14.19,-14.31,0.03,0.04,-0.01
